curvy;female
voluptuous;female
chubby;both
buxom;both
heavyset;both
full-figured;female
fat;both
plump;both
overweight;both
burly;both
obese;both
morbidly obese;both
thick;female
thicc;female
hourglass figure;female
stout;both
rotund;both
hefty;both
large;both
portly;both
midweight;both
beefy;both
athletic;both
fit;both
muscular;both
buff;both
stocky;both
well-built;both
well-endowed;male
thin;both
slender;both
skinny;both
small;both
petite;female
tiny;both
lanky;both
slim;both
slight;both
light-weight;both
flyweight;both
short;both
tall;both
strong;both
