"a closeup portrait of a -descriptor- -subject-, -hairstyle- hair, -outfit-, amazing body, pronounced -genderdescription- feature, busty, kitchen, -haircolor- hair, freckles, flirting with camera"; deliberate; official; humanoid; -job-
a -descriptor- baby -subject- made out of -material-, (cyborg:1.1), ([tail | detailed wire]:1.3), (intricate details), hdr, (intricate details, hyperdetailed:1.2), cinematic shot, vignette, centered; deliberate; official; animal; -animal-
-subject-, -culture- era, cinematography, intricately detailed, crafted, meticulous, magnificent, maximum details, extremely hyper aesthetic; deliberate; official; object; -accessory-
a -subject-, wearing a -accessory-, -food- in her hands, school, indoors, (soothing tones:1.25), (hdr:1.25), (artstation:1.2), dramatic, (intricate details:1.14), (hyperrealistic 3d render:1.16), (filmic:0.55), (rutkowski:1.1), (faded:1.3); deliberate; official; humanoid; -manwoman-
-subject- with -accessory-, natural skin texture, 24mm, 4k textures, soft cinematic light, adobe lightroom, photolab, hdr, intricate, elegant, highly detailed, sharp focus, ((((cinematic look)))), soothing tones, insane details, intricate details, hyperdetailed, low contrast, soft cinematic light, dim colors, exposure blend, hdr, faded; deliberate; official; humanoid; -human-
a portrait of a laughing, -descriptor-, muscle, -subject-, elder, (hdr:1.28), -hairstyle-, hyperdetailed, cinematic, warm lights, intricate details, hyperrealistic, dark radial background, (muted colors:1.38), (-colorscheme- colors:1.2); deliberate; official; humanoid; -humanoid-
a young -subject-, -location-, -mood-, -hairstyle-, (hdr:1.3), (-colorscheme-:1.2), dramatic, complex background, cinematic, filmic, (rutkowski, artstation:0.8), soaking wet; deliberate; official; humanoid; -manwoman-
a [-subject- : (-food-:1.3) : 7], complex; deliberate; official; object; -building-
a portrait photo of a black -subject-, smiling, -accessory-, -color- dreads, (-outfit-:1.3), -culture- -outfit-, pronounced -genderdescription- feature, insane details, intricate details, hyperdetailed, complex background, -building-, indoors; deliberate; official; humanoid; -manwoman-
a -subject-, pinup, art style, kodak portra 400, cinematic, (-mood-:0.6), (closeup:0.8); deliberate; official; humanoid; -job-
drunk, -descriptor- -subject-, muddy, crowded bottles bar, intricate details, hdr, intricate details, hyperdetailed, cinematic, dark shot, -colorscheme- colors, film grainy, soothing tones, muted colors, -colorscheme-; deliberate; official; humanoid; -fictional-
-subject-, epic realistic, (hdr:1.4), (-colorscheme- colors:1.4), -conceptsuffix-, freezing, -descriptor-, neutral colors, night, screen space refractions, (intricate details), (intricate details, hyperdetailed:1.2), artstation, cinematic shot, vignette, complex background, buildings, snowy; deliberate; official; concept; end of the world
a -subject-, (-material- skin cracked:1.4), (intricate details:1.22), hdr, (intricate details, hyperdetailed:1.2), whole body, cinematic, intense, cinematic composition, cinematic lighting, (rim lighting:1.3), -colorscheme-, focused; deliberate; official; humanoid; -manwoman-
a 42 yo -subject-, smiling, (-food- bar:1.2), (-color- apron:0.9), cook hat, artstation, (epic realistic:1.2), (hdr:1.3), (dark shot:0.7), intricate details, [[rutkowski]], intricate, cinematic, detailed; deliberate; official; humanoid; -job-
-artmovement-, a -subject- -job- covered in -color- paint; deliberate; gallery; humanoid; -manwoman-
